degree,coef0,gamma,cost,nu,dev
1,-5,0.05,1,0.1,0.208634924499051
1,-5,0.05,2,0.1,0.248168383007343
1,-5,0.05,0.25,0.1,0.0494917573178395
1,-5,0.05,0.5,0.1,0.128998014083044
1,-5,0.05,4,0.1,0.28163934152308
1,-5,0.05,8,0.1,0.289090445879522
1,-5,0.05,16,0.1,0.293899520049905
1,-5,0.05,32,0.1,0.294583265040274
2,-5,0.05,1,0.1,-5.44399826567299
2,-5,0.05,2,0.1,-5.85712164660733
2,-5,0.05,0.25,0.1,-4.62156971822869
2,-5,0.05,0.5,0.1,-5.03111137499198
1,-5,0.05,64,0.1,0.294853429121078
2,-5,0.05,8,0.1,-6.67923120576426
2,-5,0.05,4,0.1,-6.26661080425003
2,-5,0.05,16,0.1,-7.09008257131895
2,-5,0.05,32,0.1,-7.50094297563848
1,-5,0.05,128,0.1,0.294720373100456
3,-5,0.05,1,0.1,-4.14945087583769
2,-5,0.05,64,0.1,-7.91181309822641
3,-5,0.05,2,0.1,-4.69895392655823
3,-5,0.05,0.5,0.1,-3.59540467207177
3,-5,0.05,0.25,0.1,-3.04641057935509
3,-5,0.05,8,0.1,-5.79036097705195
3,-5,0.05,4,0.1,-5.24332846987526
2,-5,0.05,128,0.1,-8.32268985038843
3,-5,0.05,16,0.1,-6.33820168966158
3,-5,0.05,32,0.1,-6.88624593626296
4,-5,0.05,1,0.1,-7.72448318161156
4,-5,0.05,0.5,0.1,-7.31787371845975
4,-5,0.05,2,0.1,-8.13109571084718
3,-5,0.05,64,0.1,-7.42272825726188
4,-5,0.05,0.25,0.1,-6.91127211977263
4,-5,0.05,8,0.1,-8.94432400720967
4,-5,0.05,4,0.1,-8.53770955683842
4,-5,0.05,16,0.1,-9.35093874628331
4,-5,0.05,32,0.1,-9.75755362633789
3,-5,0.05,128,0.1,-7.96852401291117
5,-5,0.05,1,0.1,-7.64477525923519
4,-5,0.05,64,0.1,-10.1641685760406
5,-5,0.05,0.5,0.1,-7.11275092295962
5,-5,0.05,2,0.1,-8.21101625097443
5,-5,0.05,0.25,0.1,-6.55231914678143
5,-5,0.05,4,0.1,-8.76016883651936
5,-5,0.05,8,0.1,-9.29016738870358
4,-5,0.05,128,0.1,-10.5707835603568
5,-5,0.05,16,0.1,-9.8584838833087
5,-5,0.05,32,0.1,-10.3871619498203
1,-2.5,0.05,1,0.1,0.208730257874162
1,-2.5,0.05,0.5,0.1,0.128933438435622
1,-2.5,0.05,2,0.1,0.247766101436682
5,-5,0.05,64,0.1,-10.935663261472
1,-2.5,0.05,0.25,0.1,0.0494918989334522
1,-2.5,0.05,4,0.1,0.281632108401129
1,-2.5,0.05,8,0.1,0.289054915854208
5,-5,0.05,128,0.1,-11.4841655689232
1,-2.5,0.05,16,0.1,0.29389990068146
2,-2.5,0.05,1,0.1,-5.02468824273115
2,-2.5,0.05,2,0.1,-5.43379616592723
2,-2.5,0.05,0.5,0.1,-4.61873315012913
1,-2.5,0.05,32,0.1,0.294316097004461
2,-2.5,0.05,0.25,0.1,-4.20855374430004
2,-2.5,0.05,4,0.1,-5.84655123014618
2,-2.5,0.05,8,0.1,-6.25960086512364
2,-2.5,0.05,16,0.1,-6.66939074815705
1,-2.5,0.05,64,0.1,0.294604970589534
2,-2.5,0.05,32,0.1,-7.0792371442987
3,-2.5,0.05,1,0.1,-3.61730187703072
3,-2.5,0.05,2,0.1,-4.159526022521
3,-2.5,0.05,0.5,0.1,-3.0265576429213
3,-2.5,0.05,4,0.1,-4.69346740413388
3,-2.5,0.05,0.25,0.1,-2.51763248806087
3,-2.5,0.05,8,0.1,-5.25907837891769
2,-2.5,0.05,64,0.1,-7.48911054661966
3,-2.5,0.05,16,0.1,-5.80773059152329
3,-2.5,0.05,32,0.1,-6.34925507860316
4,-2.5,0.05,1,0.1,-6.45471778994844
4,-2.5,0.05,2,0.1,-6.85487306649579
4,-2.5,0.05,0.5,0.1,-6.05325477230298
1,-2.5,0.05,128,0.1,0.294493185886759
4,-2.5,0.05,8,0.1,-7.65652538246148
4,-2.5,0.05,4,0.1,-7.25572891076864
4,-2.5,0.05,0.25,0.1,-5.65022323194272
4,-2.5,0.05,16,0.1,-8.05727868911139
3,-2.5,0.05,64,0.1,-6.90061329030326
4,-2.5,0.05,32,0.1,-8.45800763413884
2,-2.5,0.05,128,0.1,-7.89899710606776
5,-2.5,0.05,1,0.1,-5.98630120343199
5,-2.5,0.05,2,0.1,-6.53672425646597
5,-2.5,0.05,0.5,0.1,-5.43912016718238
5,-2.5,0.05,0.25,0.1,-4.06641037727975
5,-2.5,0.05,8,0.1,-7.62216004744649
5,-2.5,0.05,4,0.1,-7.07392770674822
5,-2.5,0.05,16,0.1,-8.17651155996149
4,-2.5,0.05,64,0.1,-8.85872379399172
1,0,0.05,1,0.1,0.208700456796779
5,-2.5,0.05,32,0.1,-8.71871709313301
3,-2.5,0.05,128,0.1,-7.44929340590175
1,0,0.05,2,0.1,0.247668983793402
1,0,0.05,0.5,0.1,0.128942089676442
1,0,0.05,0.25,0.1,0.0494917742293288
1,0,0.05,4,0.1,0.281591201775086
1,0,0.05,8,0.1,0.288503584421093
1,0,0.05,16,0.1,0.294143706187254
5,-2.5,0.05,64,0.1,-8.01764991009958
4,-2.5,0.05,128,0.1,-9.2594334217946
2,0,0.05,1,0.1,0.00265699964716648
2,0,0.05,0.5,0.1,-0.0537187397639503
2,0,0.05,2,0.1,0.0806160937358399
2,0,0.05,0.25,0.1,-0.0890676995934829
2,0,0.05,4,0.1,0.204195496143281
1,0,0.05,32,0.1,0.29440841396184
2,0,0.05,8,0.1,0.326363677615122
3,0,0.05,1,0.1,-0.0855532911025287
2,0,0.05,16,0.1,0.366677775477922
3,0,0.05,0.5,0.1,-0.106222771544817
3,0,0.05,0.25,0.1,-0.121298203987741
3,0,0.05,2,0.1,-0.0526743518735813
5,-2.5,0.05,128,0.1,-8.46334669106244
3,0,0.05,4,0.1,-0.000694640051760453
3,0,0.05,8,0.1,0.0774397083004064
